,p1
Golden Retriever,150
Labrador Retriever,100
Pembroke,89
Chihuahua,83
Pug,57
Chow,44
Samoyed,43
Toy Poodle,39
Pomeranian,38
Malamute,30
Cocker Spaniel,30
French Bulldog,26
Miniature Pinscher,23
Chesapeake Bay Retriever,23
German Shepherd,20
Staffordshire Bullterrier,20
Siberian Husky,20
Cardigan,19
Beagle,18
Shetland Sheepdog,18
Eskimo Dog,18
Maltese Dog,18
Lakeland Terrier,17
Rottweiler,17
Shih-Tzu,17
Italian Greyhound,16
Kuvasz,16
West Highland White Terrier,14
Great Pyrenees,14
Pekinese,13
Vizsla,13
Dalmatian,13
Basset,13
American Staffordshire Terrier,13
Airedale,12
Border Collie,12
Old English Sheepdog,12
Blenheim Spaniel,11
Kelpie,11
Soft-Coated Wheaten Terrier,11
Boxer,10
Schipperke,10
Bernese Mountain Dog,10
Collie,10
English Springer,10
Great Dane,9
Malinois,9
Whippet,9
Borzoi,9
Boston Bull,9
Yorkshire Terrier,8
Norwegian Elkhound,8
Standard Poodle,8
English Setter,8
Miniature Poodle,8
Flat-Coated Retriever,8
Doberman,8
Papillon,8
German Short-Haired Pointer,7
Norfolk Terrier,7
Basenji,7
Border Terrier,7
Brittany Spaniel,7
Bloodhound,7
Saint Bernard,7
Redbone,6
Irish Setter,6
Dandie Dinmont,6
Irish Terrier,6
Bedlington Terrier,5
Lhasa,5
Tibetan Mastiff,5
Walker Hound,5
Newfoundland,5
Bull Mastiff,5
Rhodesian Ridgeback,4
Keeshond,4
Norwich Terrier,4
Bluetick,4
Weimaraner,4
Afghan Hound,4
Miniature Schnauzer,4
Mexican Hairless,4
Saluki,4
Tibetan Terrier,4
Gordon Setter,4
Cairn,3
Giant Schnauzer,3
Leonberg,3
Scottish Deerhound,3
Curly-Coated Retriever,3
Greater Swiss Mountain Dog,3
Brabancon Griffon,3
Komondor,3
Ibizan Hound,3
Briard,3
Welsh Springer Spaniel,3
Irish Water Spaniel,3
Appenzeller,2
Australian Terrier,2
Black-And-Tan Coonhound,2
Wire-Haired Fox Terrier,2
Sussex Spaniel,2
Toy Terrier,2
Standard Schnauzer,1
Clumber,1
Silky Terrier,1
Scotch Terrier,1
Japanese Spaniel,1
Groenendael,1
Entlebucher,1
